종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
우리넷,8850,150,1.72,500,809,9137,0.5,46451,-8.62,-17.71
디이엔티,6200,70,1.1400000000000001,500,808,13037,0.41000000000000003,149560,-19.62,-44.87
케이에스피,2230,40,1.83,500,807,36192,2.8899999999999997,85255,55.75,5.33
아이앤씨,4515,40,-0.88,500,806,17863,1.59,168835,-8.99,-11.950000000000001
하이로닉,5710,10,0.18,100,805,14100,2.8,143965,19.1,7.72
에이디칩스,1010,17,1.71,500,805,79709,1.11,18098656,-5.319999999999999,-28.5
태양,9360,120,-1.27,500,805,8600,0.65,4881,27.37,4.35
효성오앤비,9470,530,5.930000000000001,500,804,8490,3.05,471680,33.82,3.59
케이피에프,4530,45,1,500,803,17718,0.65,35349,-46.220000000000006,-3.8299999999999996
해성옵틱스,982,5,0.51,500,802,81620,2.09,1217587,-0.8400000000000001,-124.13
한국바이오젠,9800,630,6.87,200,801,8177,4.23,1303091,19.68,11.6
동국알앤에스,4345,75,1.76,1000,799,18400,2.21,100618,24.69,3.9299999999999997
이글루시큐리티,7270,30,0.41000000000000003,500,799,10996,3.25,26478,15.5,9.97
동양에스텍,4055,10,0.25,500,799,19700,1.1700000000000002,131757,5.359999999999999,9.870000000000001
드림씨아이에스,14050,50,0.36,500,795,5659,5.89,7460,22.37,NA
뉴로스,2230,0,0,500,795,35639,3.61,0,-1.22,-96.76
KMH하이텍,1695,40,-2.3099999999999996,500,795,46885,2.03,802128,70.61999999999999,2.24
마니커에프앤지,5020,80,-1.57,500,792,15768,0.7,68127,24.02,8.48
바른전자,944,0,0,500,790,83686,0.06,0,-9.729999999999999,-48.839999999999996
삼영이엔씨,8230,70,-0.8400000000000001,500,790,9598,1.25,48181,-26.130000000000003,-3.25
KB오토시스,6840,30,-0.44,500,787,11500,27.19,27961,16.21,3.24
오리엔트정공,671,5,-0.74,500,786,117215,0.29000000000000004,2283236,-5.64,-45.98
아이크래프트,5370,80,-1.47,500,784,14608,2.36,98492,32.55,3.61
더블유에스아이,2680,15,-0.56,100,784,29238,0.04,19363,-46.21,-8.81
프럼파스트,8050,80,-0.98,500,783,9731,2.52,587686,46.260000000000005,4.26
로보로보,3840,45,-1.1600000000000001,100,781,20348,2.36,178880,-38.790000000000006,-12.7
리더스코스메틱,4090,105,-2.5,500,781,19101,2.7800000000000002,35380,3.18,46.92
우정바이오,6460,130,2.05,500,781,12093,0.63,53174,-6.53,-39.78
동우팜투테이블,3020,10,-0.32999999999999996,500,780,25832,1.54,60090,13.92,-1.25
모비스,2420,35,1.47,100,779,32171,1.55,124384,-161.33,-5.79
율호,1995,25,1.27,500,777,38967,2.68,535649,19.95,4.58
정원엔시스,2410,0,0,500,776,32209,1.99,112061,92.69,1.9
씨큐브,7650,20,-0.26,500,776,10138,1.53,19443,24.439999999999998,6.56
대유에이피,6770,80,-1.1700000000000002,500,774,11432,1.56,22996,16.39,11.93
에스에너지,3990,5,-0.13,500,774,19397,2.04,51578,-2.9699999999999998,-20.55
이씨에스,6290,230,3.8,500,773,12294,3.9699999999999998,743217,15.12,10.53
디딤,2030,10,0.5,100,772,38039,11.719999999999999,192906,-3.08,-147.73
예선테크,2330,10,-0.43000000000000005,100,769,33000,0.38,168117,30.259999999999998,4.64
지니언스,8130,750,10.16,500,768,9445,11.4,520897,14.360000000000001,9.96
하이소닉,3110,0,0,1000,767,24668,1.21,0,-6.81,-79.27
세명전기,5030,190,3.9299999999999997,500,767,15246,3.3499999999999996,189866,21.05,2.9899999999999998
엠벤처투자,1135,0,0,500,767,67537,1.24,373413,-7.88,-28.45
소프트캠프,3065,0,0,100,766,24991,0.14,77044,-102.16999999999999,14.19
아이엠,1140,25,-2.15,500,766,67190,1.79,1084404,-6.99,-46.43
