종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
성창기업지주,2710,15,0.56,500,1890,69752,2.11,164146,14.97,0.96
태경산업,6460,70,-1.07,500,1888,29229,2.84,150900,21.39,1.59
현대약품,5900,20,0.34,500,1888,32000,1.49,97575,-134.09,2.52
우진,9270,830,-8.22,500,1884,20324,0.96,4518876,6.36,25.83
HDC현대EP,5890,140,-2.32,500,1879,31900,7.05,296736,12.83,4.79
사조동아원,1320,65,5.18,500,1863,141145,1.1,2714136,12.82,4.74
태경케미컬,16050,600,-3.6,500,1862,11600,1.8,99838,17.35,6.37
깨끗한나라,4980,15,-0.3,1000,1855,37241,2.12,173313,9.45,20.21
쌍방울,701,0,0,500,1841,262592,3.96,3156016,14.6,-8.46
대신증권2우B,18250,0,0,5000,1825,10000,1.81,18403,2.59,NA
코스맥스비티아이,18900,450,2.44,500,1815,9604,4.8,37590,194.85,-2.15
KBSTAR 코스닥150선물레버리지,17190,35,-0.2,0,1807,10510,0.04,38921,NA,NA
화성산업,14450,150,1.05,5000,1799,12451,10.56,174486,12.66,NA
한국내화,4380,200,4.78,500,1799,41067,0.67,589060,15.05,NA
명문제약,5280,20,0.38,500,1793,33953,0.93,106996,-15.58,-33.77
KBSTAR 코스피,31400,40,-0.13,0,1774,5650,0.15,1043,NA,NA
이스타코,4125,325,8.55,500,1768,42852,0.35,4822868,412.5,-0.12
동양철관,1485,70,4.95,500,1765,118885,1.73,1855785,-1485,8.41
태경비케이,6390,260,4.24,500,1763,27583,2.86,661485,23.15,3.42
TIGER 코스닥150,15425,20,0.13,0,1762,11420,5.19,190739,NA,NA
HANARO 단기채권액티브,100165,5,0,0,1747,1744,0,1,NA,NA
미원화학,79100,100,0.13,1000,1740,2199,5.19,170,15.69,12.81
강남제비스코,26650,500,-1.84,1000,1732,6500,11.4,13207,1.76,4.34
두올,5210,10,0.19,2500,1723,33067,0.74,642755,12.23,3
TIGER 헬스케어,44395,560,-1.25,0,1723,3880,0.26,36134,NA,NA
동아타이어,12500,50,0.4,500,1717,13733,3.2,8920,10.92,3.69
한솔홀딩스,4085,5,0.12,1000,1716,42009,14.84,63000,2.88,15.2
노루홀딩스,12900,50,0.39,500,1715,13291,3.81,12612,12.8,3.8
진양홀딩스,3055,5,-0.16,500,1708,55895,3.35,101588,18.52,8.23
삼익악기,1885,5,-0.26,500,1706,90531,3.07,243761,3.02,4.49
대양금속,5450,50,-0.91,500,1694,31090,0.7,568181,78.99,-0.91
오리엔트바이오,1410,100,7.63,500,1672,118583,0.87,2280045,-13.56,-29.7
KBSTAR 코스닥150,15110,5,-0.03,0,1671,11060,0.06,17591,NA,NA
대유플러스,1380,10,-0.72,500,1670,120999,1.53,1028801,276,-9.07
신세계건설,41700,850,2.08,5000,1668,4000,4.3,11246,6.25,6.12
에넥스,2780,70,2.58,500,1668,59992,0.7,981803,-20.9,-17.89
한국공항,52600,500,0.96,5000,1666,3166,4.94,40039,-7.15,-15.94
TIGER 미국MSCI리츠(합성 H),15135,0,0,0,1665,11000,0.33,42195,NA,NA
신흥,17400,200,1.16,500,1653,9500,0.8,19586,13.65,14.45
한국패러랠,2055,10,0.49,0,1644,80020,0,3157,NA,NA
DL이앤씨우,77100,400,-0.52,5000,1630,2114,7.58,5172,NA,NA
이수페타시스,3905,130,-3.22,1000,1612,41268,2.29,593070,-18,-19.14
광전자,2775,140,5.31,500,1608,57944,21.43,202749,-14.61,-7.56
모나리자,4370,30,-0.68,500,1598,36571,0.92,154394,35.24,11.62
한국화장품,9920,50,0.51,500,1594,16068,0.54,18284,-12.05,-23.66
한국석유,12550,100,-0.79,500,1593,12694,1.25,145626,15.36,4.6
삼성공조,19500,0,0,500,1585,8126,1.14,70560,20.48,2.46
KBSTAR 중기우량회사채,104935,80,-0.08,0,1574,1500,0,124,NA,NA
SNT에너지,20900,450,-2.11,500,1569,7507,4.61,59691,20,4.07
영풍제지,7050,40,-0.56,500,1565,22200,0.21,37469,19.75,6.94
유수홀딩스,6000,20,0.33,2500,1562,26042,8.88,29496,1.92,30.04
황금에스티,9750,70,-0.71,500,1560,16000,3.76,192824,7.57,6.34
DSR,9700,50,-0.51,500,1552,16000,0.71,287935,14.41,5.67
유화증권,2730,30,1.11,1000,1548,56702,3.59,50083,20.68,1.12
KODEX 차이나항셍테크,8195,45,-0.55,0,1541,18800,0.16,276395,NA,NA
수산중공업,2850,40,1.42,500,1539,53985,4.22,449330,55.88,3.95
TRUE 레버리지 나스닥 100 ETN,30740,365,1.2,0,1537,5000,0,6006,NA,NA
극동유화,4400,45,-1.01,500,1534,34869,1.58,693019,16.92,4.54
일동홀딩스,13250,250,1.92,1000,1529,11540,2.12,23080,-4.79,-14.74
이건산업,13850,150,-1.07,5000,1517,10953,5.14,168485,12.16,0.96
한솔홈데코,1880,5,0.27,1000,1515,80565,2.24,1045775,117.5,0.38
